shipment_id,supplier,origin,destination,transport_mode,distance_km,shipping_cost,weather_condition,traffic_level,order_priority,expected_delivery_days,actual_delivery_days,delayed
SHP-000020,Supplier_G,Houston,Atlanta,Road,574,5342.12,Clear,High,Low,9,10,1
SHP-000021,Supplier_H,Dallas,Denver,Road,1182,8742.5,Clear,Severe,Low,4,9,1
SHP-000022,Supplier_Q,New York,Miami,Rail,2658,9955.91,Clear,High,High,4,2,0
SHP-000023,Supplier_T,San Antonio,Orlando,Air,2147,5848.01,Clear,Low,Low,3,3,0
SHP-000024,Supplier_A,Dallas,Boston,Rail,2847,8134.11,Snow,Moderate,Critical,8,15,1
SHP-000025,Supplier_R,San Antonio,Las Vegas,Road,1075,3303.06,Rain,Low,Critical,9,8,0
SHP-000026,Supplier_G,Dallas,Atlanta,Road,1906,3092.15,Clear,Low,High,1,1,0
SHP-000027,Supplier_W,San Diego,Las Vegas,Air,289,4056.9,Clear,Low,Critical,2,2,0
SHP-000028,Supplier_U,San Jose,Atlanta,Air,2834,6741.45,Clear,Low,Low,1,1,0
SHP-000029,Supplier_W,Houston,Seattle,Road,3105,6837.81,Clear,High,Medium,14,14,0
SHP-000030,Supplier_R,San Diego,Orlando,Air,4758,3186.63,Rain,Low,Medium,4,3,0
SHP-000031,Supplier_N,Phoenix,Las Vegas,Rail,1999,1375.44,Snow,Moderate,Critical,10,13,1
SHP-000032,Supplier_H,Los Angeles,Orlando,Sea,1367,6342.34,Snow,Moderate,Low,7,9,1
SHP-000033,Supplier_O,San Antonio,Miami,Sea,1628,1326.84,Snow,Moderate,High,14,14,0
SHP-000034,Supplier_S,New York,Orlando,Air,3302,5806.0,Clear,Severe,Critical,7,6,0
SHP-000035,Supplier_I,Dallas,Las Vegas,Air,3656,6949.55,Fog,Low,Low,12,12,0
SHP-000036,Supplier_Z,San Jose,Seattle,Sea,3990,7021.08,Storm,Moderate,Low,6,6,0
SHP-000037,Supplier_A,Dallas,Portland,Sea,746,7547.05,Fog,Moderate,Medium,13,13,0
SHP-000038,Supplier_Y,San Jose,Las Vegas,Rail,2988,8734.95,Clear,Low,Critical,11,9,0
SHP-000039,Supplier_Z,San Jose,Miami,Rail,2535,5024.59,Fog,Moderate,High,5,5,0
SHP-000040,Supplier_F,Chicago,Atlanta,Road,700,7315.98,Storm,High,Medium,11,16,1
SHP-000041,Supplier_W,Los Angeles,Las Vegas,Road,2463,6210.77,Storm,Low,Critical,4,6,1
SHP-000042,Supplier_N,San Diego,Denver,Rail,2161,1907.07,Clear,Low,Medium,12,11,0
SHP-000043,Supplier_K,Chicago,Miami,Sea,341,305.61,Snow,Low,Critical,13,11,0
SHP-000044,Supplier_I,Chicago,Boston,Rail,2141,2881.19,Fog,High,Critical,14,14,0
SHP-000045,Supplier_E,Houston,Seattle,Air,2924,4458.19,Rain,High,Critical,8,6,0
SHP-000046,Supplier_G,Houston,Seattle,Air,2712,6190.2,Rain,Moderate,Low,7,5,0
SHP-000047,Supplier_Y,Chicago,Orlando,Road,1463,8507.1,Fog,Moderate,High,11,9,0
SHP-000048,Supplier_K,New York,Portland,Road,1578,2002.64,Clear,High,Low,11,9,0
SHP-000049,Supplier_D,San Antonio,Atlanta,Air,2656,1299.22,Rain,High,High,10,14,1
SHP-000050,Supplier_C,Los Angeles,Las Vegas,Sea,875,9636.63,Clear,High,Medium,1,1,0
SHP-000051,Supplier_M,San Antonio,Orlando,Air,4114,1125.04,Fog,High,Low,6,9,1
SHP-000052,Supplier_D,Houston,Detroit,Rail,134,4810.99,Clear,Moderate,High,14,12,0
SHP-000053,Supplier_L,Chicago,Nashville,Air,3252,5876.36,Rain,Moderate,Low,2,1,0
SHP-000054,Supplier_L,San Jose,Orlando,Road,2055,5436.68,Rain,High,Critical,4,8,1
SHP-000055,Supplier_T,Phoenix,Miami,Road,1685,906.02,Snow,Severe,Low,5,7,1
SHP-000056,Supplier_I,Philadelphia,Portland,Rail,4043,617.42,Rain,Low,High,8,6,0
SHP-000057,Supplier_Z,Los Angeles,Miami,Rail,3173,1099.56,Fog,Low,Critical,6,12,1
SHP-000058,Supplier_B,Los Angeles,Detroit,Air,1121,5876.6,Fog,Severe,Low,11,13,1
SHP-000059,Supplier_X,San Antonio,Nashville,Sea,3561,5466.23,Clear,Low,Critical,2,2,0
SHP-000060,Supplier_O,Dallas,Denver,Road,2713,2375.72,Clear,High,Medium,5,4,0
SHP-000061,Supplier_R,San Antonio,Nashville,Air,3943,6395.85,Clear,Low,Medium,5,5,0
SHP-000062,Supplier_D,Dallas,Miami,Rail,1600,8209.67,Clear,Low,Critical,6,4,0
SHP-000063,Supplier_M,Philadelphia,Las Vegas,Air,4898,463.71,Rain,Low,High,1,1,0
SHP-000064,Supplier_C,Phoenix,Detroit,Sea,261,5006.39,Fog,Low,Medium,8,6,0
SHP-000065,Supplier_R,Dallas,Nashville,Road,4397,6908.64,Storm,Low,High,3,1,0
SHP-000066,Supplier_J,San Diego,Boston,Road,2081,2560.5,Clear,Moderate,Critical,5,5,0
SHP-000067,Supplier_U,New York,Atlanta,Sea,1095,3112.32,Clear,High,High,7,7,0
SHP-000068,Supplier_T,San Jose,Atlanta,Air,3442,6155.7,Rain,Severe,Low,3,1,0
SHP-000069,Supplier_L,San Jose,Atlanta,Road,4651,8984.46,Rain,Moderate,Critical,14,20,1
SHP-000070,Supplier_S,Dallas,Las Vegas,Rail,3898,8108.75,Clear,Moderate,Critical,10,8,0
SHP-000071,Supplier_G,San Antonio,Denver,Sea,1375,5852.15,Storm,Moderate,Medium,13,11,0
SHP-000072,Supplier_W,Los Angeles,Boston,Rail,1116,7315.71,Fog,Moderate,High,6,5,0
SHP-000073,Supplier_C,San Antonio,Denver,Road,437,3679.98,Clear,Moderate,Low,5,5,0
SHP-000074,Supplier_B,Chicago,Denver,Sea,978,6427.61,Storm,Low,Critical,7,13,1
SHP-000075,Supplier_V,Chicago,Boston,Road,1176,4688.51,Clear,Low,High,10,10,0
SHP-000076,Supplier_H,San Jose,Atlanta,Air,4987,1939.86,Snow,Low,Critical,11,10,0
SHP-000077,Supplier_Y,San Jose,Denver,Rail,4093,7032.3,Clear,Low,Critical,3,6,1
SHP-000078,Supplier_J,San Jose,Boston,Sea,4959,5586.82,Clear,High,Medium,13,11,0
SHP-000079,Supplier_C,Los Angeles,Nashville,Road,479,3618.28,Fog,Low,High,14,14,0
SHP-000080,Supplier_H,Los Angeles,Denver,Road,592,9117.82,Clear,High,Critical,2,1,0
SHP-000081,Supplier_D,San Jose,Miami,Air,2162,258.29,Snow,Severe,Low,4,10,1
SHP-000082,Supplier_M,Los Angeles,Orlando,Rail,3984,3191.94,Clear,Severe,High,3,8,1
SHP-000083,Supplier_I,Phoenix,Detroit,Sea,164,615.97,Clear,Severe,Critical,4,4,0
SHP-000084,Supplier_O,Dallas,Denver,Air,2668,7676.95,Clear,Low,High,7,6,0
SHP-000085,Supplier_U,Philadelphia,Miami,Rail,2127,7035.97,Clear,Moderate,Medium,5,3,0
SHP-000086,Supplier_L,San Antonio,Miami,Sea,2795,3346.95,Rain,Low,Low,4,4,0
SHP-000087,Supplier_F,Phoenix,Boston,Road,1595,6772.85,Clear,High,Critical,14,16,1
SHP-000088,Supplier_L,San Antonio,Nashville,Road,491,3989.58,Rain,High,Low,6,5,0
SHP-000089,Supplier_L,San Diego,Atlanta,Rail,4614,7574.73,Rain,High,Medium,7,11,1
SHP-000090,Supplier_G,San Jose,Detroit,Road,4574,4569.13,Snow,Moderate,High,12,15,1
SHP-000091,Supplier_V,San Jose,Denver,Air,3661,4152.18,Clear,High,Low,14,17,1
SHP-000092,Supplier_I,San Diego,Nashville,Sea,2378,9350.56,Fog,Low,Critical,11,9,0
SHP-000093,Supplier_W,New York,Detroit,Sea,3199,2546.25,Clear,Low,Medium,5,5,0
SHP-000094,Supplier_V,Chicago,Boston,Air,300,1248.45,Clear,High,Medium,12,10,0
SHP-000095,Supplier_U,Phoenix,Nashville,Road,4975,5866.2,Clear,Moderate,High,7,7,0
SHP-000096,Supplier_C,San Antonio,Atlanta,Sea,3204,9694.75,Clear,Severe,Medium,3,3,0
SHP-000097,Supplier_T,Chicago,Miami,Air,4698,3809.5,Clear,Low,Critical,7,7,0
SHP-000098,Supplier_U,San Jose,Seattle,Road,2554,667.27,Rain,High,High,12,18,1
SHP-000099,Supplier_F,San Jose,Seattle,Rail,3745,3426.09,Clear,Moderate,Medium,3,8,1
SHP-000100,Supplier_R,San Antonio,Orlando,Rail,904,5084.02,Clear,High,Low,14,12,0
SHP-000101,Supplier_X,New York,Orlando,Road,2831,1661.13,Snow,High,Medium,6,9,1
SHP-000102,Supplier_H,San Antonio,Seattle,Rail,2873,6598.12,Clear,Severe,High,8,15,1
SHP-000103,Supplier_F,Philadelphia,Portland,Rail,1670,9977.61,Clear,Low,Critical,13,12,0
SHP-000104,Supplier_O,Houston,Las Vegas,Air,2790,4544.81,Clear,Severe,Medium,6,6,0
SHP-000105,Supplier_M,New York,Las Vegas,Road,3940,3579.55,Snow,Low,Low,10,10,0
SHP-000106,Supplier_I,San Diego,Nashville,Road,1128,4037.01,Clear,Low,Critical,11,9,0
SHP-000107,Supplier_U,Phoenix,Atlanta,Road,602,1195.7,Clear,Moderate,Medium,3,2,0
SHP-000108,Supplier_W,Philadelphia,Boston,Road,4593,8838.57,Rain,High,High,12,11,0
SHP-000109,Supplier_R,New York,Miami,Rail,970,4177.52,Rain,Moderate,Critical,5,5,0
SHP-000110,Supplier_H,Philadelphia,Detroit,Sea,4588,3903.38,Rain,High,Critical,9,13,1
SHP-000111,Supplier_V,Phoenix,Portland,Rail,306,6613.92,Storm,High,Medium,8,13,1
SHP-000112,Supplier_K,Phoenix,Las Vegas,Rail,1584,4448.23,Clear,Low,Critical,6,6,0
SHP-000113,Supplier_Y,Phoenix,Nashville,Sea,963,6499.92,Clear,Severe,Low,9,16,1
SHP-000114,Supplier_Y,San Diego,Atlanta,Sea,2890,661.39,Clear,Low,Critical,2,1,0
SHP-000115,Supplier_B,Los Angeles,Portland,Rail,663,8146.55,Clear,High,Low,13,17,1
SHP-000116,Supplier_H,Houston,Miami,Road,4291,9408.01,Clear,Low,Low,11,11,0
SHP-000117,Supplier_B,Chicago,Nashville,Rail,1857,6505.22,Clear,Moderate,Low,9,9,0
SHP-000118,Supplier_Z,Phoenix,Seattle,Air,1778,9547.93,Rain,Moderate,High,10,10,0
SHP-000119,Supplier_K,San Diego,Miami,Air,3342,1556.75,Rain,Low,Low,13,13,0
SHP-000120,Supplier_M,Philadelphia,Boston,Rail,4736,4800.29,Clear,Low,Medium,10,10,0
SHP-000121,Supplier_I,Phoenix,Las Vegas,Road,1159,6037.98,Snow,Low,Low,6,8,1
SHP-000122,Supplier_C,San Antonio,Orlando,Air,1822,5838.28,Clear,Low,Medium,9,7,0
SHP-000123,Supplier_G,San Jose,Atlanta,Sea,3414,4044.54,Clear,Low,High,12,10,0
SHP-000124,Supplier_S,Los Angeles,Seattle,Road,3257,3413.94,Rain,Moderate,Medium,4,4,0
SHP-000125,Supplier_W,Houston,Las Vegas,Road,2725,1311.9,Clear,High,Medium,5,3,0
SHP-000126,Supplier_K,San Diego,Denver,Road,2829,3947.84,Clear,Moderate,Critical,2,9,1
SHP-000127,Supplier_G,Houston,Boston,Road,1697,1668.48,Clear,High,Low,3,4,1
SHP-000128,Supplier_U,San Antonio,Orlando,Rail,3160,7356.94,Fog,Moderate,Medium,1,1,0
SHP-000129,Supplier_P,San Diego,Nashville,Rail,2793,2127.87,Snow,Moderate,Medium,4,10,1
SHP-000130,Supplier_M,Dallas,Portland,Air,4991,632.72,Clear,Moderate,Critical,12,12,0
SHP-000131,Supplier_U,Philadelphia,Atlanta,Sea,3727,5546.04,Storm,Moderate,Critical,2,4,1
SHP-000132,Supplier_O,New York,Las Vegas,Sea,1463,5972.54,Snow,Moderate,Low,12,15,1
SHP-000133,Supplier_E,Dallas,Seattle,Road,2081,8725.53,Rain,Low,High,2,2,0
SHP-000134,Supplier_I,Chicago,Denver,Rail,1763,5790.97,Storm,High,Medium,1,5,1
SHP-000135,Supplier_E,Los Angeles,Detroit,Rail,1629,3487.53,Clear,High,Medium,10,8,0
SHP-000136,Supplier_H,Phoenix,Las Vegas,Air,2138,8039.97,Clear,Low,Low,12,10,0
SHP-000137,Supplier_X,Dallas,Denver,Road,3402,5425.77,Rain,High,High,2,9,1
SHP-000138,Supplier_R,San Antonio,Seattle,Rail,2337,838.84,Rain,Low,High,4,10,1
SHP-000139,Supplier_R,Chicago,Las Vegas,Sea,1406,5680.21,Rain,Low,Low,6,5,0
SHP-000140,Supplier_I,Dallas,Nashville,Rail,4129,9084.78,Rain,Low,Critical,13,18,1
SHP-000141,Supplier_X,San Jose,Las Vegas,Sea,2775,3993.31,Fog,High,High,12,11,0
SHP-000142,Supplier_S,New York,Portland,Rail,1382,2998.44,Fog,High,Low,7,14,1
SHP-000143,Supplier_N,Chicago,Miami,Air,809,1477.52,Storm,High,Medium,7,6,0
SHP-000144,Supplier_S,Houston,Miami,Air,4844,1556.88,Storm,Low,High,7,6,0
SHP-000145,Supplier_M,Houston,Portland,Rail,4513,4356.08,Fog,Moderate,High,4,2,0
SHP-000146,Supplier_L,New York,Orlando,Sea,3848,5977.01,Clear,High,High,12,11,0
SHP-000147,Supplier_H,Houston,Boston,Sea,4879,852.12,Clear,Low,Critical,5,3,0
SHP-000148,Supplier_E,New York,Denver,Air,763,9398.71,Clear,Moderate,Medium,14,14,0
SHP-000149,Supplier_Q,San Diego,Miami,Road,2098,7563.58,Storm,Low,High,11,17,1
SHP-000150,Supplier_P,New York,Miami,Sea,3545,5886.91,Rain,Low,Low,12,10,0
SHP-000151,Supplier_C,Philadelphia,Portland,Sea,3843,8292.96,Snow,Moderate,Low,3,6,1
SHP-000152,Supplier_Y,Houston,Boston,Rail,1595,847.86,Clear,Moderate,Critical,1,1,0
SHP-000153,Supplier_B,Phoenix,Orlando,Rail,3404,4794.55,Clear,Low,High,14,14,0
SHP-000154,Supplier_D,Philadelphia,Boston,Road,3863,6319.43,Snow,Low,Low,8,14,1
SHP-000155,Supplier_E,San Diego,Nashville,Sea,1953,8295.1,Clear,Low,Medium,10,8,0
SHP-000156,Supplier_U,Dallas,Detroit,Rail,4759,7845.52,Clear,Low,High,11,10,0
SHP-000157,Supplier_F,San Antonio,Seattle,Road,1391,2806.84,Clear,Low,High,7,6,0
SHP-000158,Supplier_Z,Los Angeles,Orlando,Road,3681,9411.76,Clear,Low,Low,14,13,0
SHP-000159,Supplier_V,New York,Las Vegas,Road,3557,1287.24,Snow,Moderate,Critical,9,8,0
SHP-000160,Supplier_N,Houston,Boston,Air,1736,8757.58,Clear,Moderate,Critical,14,13,0
SHP-000161,Supplier_T,Philadelphia,Miami,Road,3796,9710.86,Rain,High,Low,10,10,0
SHP-000162,Supplier_C,San Diego,Denver,Rail,3099,1812.68,Clear,High,Critical,4,2,0
SHP-000163,Supplier_M,San Jose,Las Vegas,Sea,3252,7234.56,Storm,Low,Critical,12,11,0
SHP-000164,Supplier_M,San Diego,Orlando,Rail,798,450.84,Clear,Low,Low,12,11,0
SHP-000165,Supplier_T,Chicago,Atlanta,Rail,2260,4083.96,Rain,High,Medium,5,6,1
SHP-000166,Supplier_O,San Diego,Boston,Rail,4197,5187.02,Snow,Low,High,5,9,1
SHP-000167,Supplier_Q,San Jose,Atlanta,Road,4837,5827.42,Clear,Low,Low,13,13,0
SHP-000168,Supplier_I,Dallas,Nashville,Rail,954,9362.58,Storm,Low,Low,7,6,0
SHP-000169,Supplier_R,Philadelphia,Atlanta,Sea,3574,6738.89,Rain,Moderate,Critical,13,12,0
SHP-000170,Supplier_A,Philadelphia,Denver,Sea,1807,4838.72,Clear,Moderate,Critical,9,8,0
SHP-000171,Supplier_V,Chicago,Las Vegas,Rail,2877,8106.27,Clear,Severe,Medium,8,9,1
SHP-000172,Supplier_X,Phoenix,Boston,Road,1833,9507.8,Fog,High,Low,7,10,1
SHP-000173,Supplier_D,Los Angeles,Nashville,Air,3610,269.56,Snow,Moderate,High,14,12,0
SHP-000174,Supplier_V,Phoenix,Seattle,Road,302,9826.09,Clear,Low,Low,1,1,0
SHP-000175,Supplier_R,New York,Orlando,Rail,3355,907.01,Clear,Low,Critical,12,11,0
SHP-000176,Supplier_Y,San Antonio,Las Vegas,Sea,4318,8153.15,Storm,Low,High,10,12,1
SHP-000177,Supplier_I,New York,Detroit,Air,4596,2839.33,Rain,Low,Critical,13,13,0
SHP-000178,Supplier_Y,Chicago,Detroit,Rail,866,1365.19,Snow,Low,Low,6,9,1
SHP-000179,Supplier_U,San Jose,Boston,Rail,4489,4426.56,Clear,Low,Medium,10,13,1
SHP-000180,Supplier_K,Houston,Portland,Rail,2427,6457.37,Snow,Low,High,9,7,0
SHP-000181,Supplier_D,Houston,Boston,Rail,3031,3840.47,Clear,Low,Medium,13,17,1
SHP-000182,Supplier_J,Houston,Seattle,Sea,297,592.93,Clear,Severe,Critical,7,13,1
SHP-000183,Supplier_N,Houston,Detroit,Air,2030,6014.64,Rain,Moderate,Critical,1,1,0
SHP-000184,Supplier_F,Phoenix,Detroit,Sea,3682,9028.91,Fog,Severe,High,9,9,0
SHP-000185,Supplier_O,San Antonio,Seattle,Sea,708,3862.99,Clear,Low,Critical,3,3,0
SHP-000186,Supplier_A,Dallas,Portland,Air,3372,2202.51,Clear,Moderate,Medium,14,13,0
SHP-000187,Supplier_X,New York,Orlando,Rail,1247,4453.64,Rain,Low,Critical,9,8,0
SHP-000188,Supplier_X,New York,Detroit,Air,4382,531.21,Rain,Low,Critical,4,3,0
SHP-000189,Supplier_I,San Diego,Miami,Road,3497,8213.85,Storm,Low,High,9,11,1
SHP-000190,Supplier_Q,Chicago,Denver,Sea,2611,8272.09,Snow,Severe,Critical,13,16,1
SHP-000191,Supplier_Y,Chicago,Miami,Sea,1894,5900.6,Clear,Severe,High,8,6,0
SHP-000192,Supplier_F,San Jose,Orlando,Rail,759,3563.37,Fog,Low,Low,7,5,0
SHP-000193,Supplier_Q,New York,Portland,Air,2911,8007.84,Snow,Low,High,4,7,1
SHP-000194,Supplier_D,Houston,Miami,Road,1469,5569.14,Storm,Moderate,High,9,8,0
SHP-000195,Supplier_U,Phoenix,Miami,Air,2086,8268.03,Rain,Low,High,4,2,0
SHP-000196,Supplier_J,San Jose,Denver,Rail,246,6333.01,Storm,Low,High,1,1,0
SHP-000197,Supplier_U,Phoenix,Nashville,Sea,3319,7854.83,Clear,Low,Low,6,5,0
SHP-000198,Supplier_Q,Phoenix,Las Vegas,Sea,3011,6005.7,Clear,Moderate,Low,4,4,0
SHP-000199,Supplier_T,San Antonio,Portland,Rail,1834,4170.7,Storm,Low,Low,10,8,0
SHP-000200,Supplier_G,San Antonio,Nashville,Road,1943,9581.56,Clear,Low,Medium,3,9,1
SHP-000201,Supplier_E,Philadelphia,Las Vegas,Sea,588,5434.08,Clear,Low,Medium,12,10,0
SHP-000202,Supplier_L,San Diego,Atlanta,Sea,3076,6070.64,Snow,Moderate,Low,5,4,0
SHP-000203,Supplier_Y,Phoenix,Atlanta,Rail,2059,2243.85,Storm,Severe,Critical,3,9,1
SHP-000204,Supplier_F,Houston,Las Vegas,Sea,2485,6275.23,Clear,Low,High,11,9,0
SHP-000205,Supplier_R,San Diego,Miami,Road,3019,5737.5,Storm,High,Medium,9,11,1
SHP-000206,Supplier_Y,Phoenix,Portland,Sea,4836,1889.14,Rain,High,Critical,12,11,0
SHP-000207,Supplier_Q,Dallas,Atlanta,Road,1902,642.89,Rain,Severe,Low,6,4,0
SHP-000208,Supplier_A,San Jose,Detroit,Air,4161,6063.38,Storm,High,High,3,6,1
SHP-000209,Supplier_T,San Antonio,Nashville,Air,3469,7648.74,Clear,Moderate,Low,5,4,0
SHP-000210,Supplier_K,San Jose,Orlando,Sea,362,5257.84,Clear,High,Low,8,14,1
SHP-000211,Supplier_P,Los Angeles,Detroit,Rail,723,2306.39,Clear,Low,Critical,14,13,0
SHP-000212,Supplier_A,New York,Nashville,Rail,1116,6681.89,Rain,Moderate,Low,8,8,0
SHP-000213,Supplier_D,Dallas,Denver,Sea,3743,847.05,Rain,Severe,Critical,6,10,1
SHP-000214,Supplier_L,Philadelphia,Miami,Rail,2149,4446.25,Storm,High,Low,5,7,1
SHP-000215,Supplier_Z,Dallas,Atlanta,Sea,3823,1675.5,Snow,Severe,Medium,5,3,0
SHP-000216,Supplier_J,San Jose,Portland,Sea,4648,1885.37,Rain,High,Critical,1,1,0
SHP-000217,Supplier_H,San Jose,Detroit,Rail,3208,2062.82,Snow,High,Medium,2,3,1
SHP-000218,Supplier_B,Phoenix,Seattle,Air,4190,3897.74,Clear,High,Critical,12,12,0
SHP-000219,Supplier_H,Phoenix,Portland,Road,2156,558.94,Clear,High,High,11,9,0
SHP-000220,Supplier_S,Los Angeles,Miami,Sea,3270,4008.04,Storm,Moderate,Medium,4,6,1
SHP-000221,Supplier_C,San Diego,Seattle,Sea,1782,5141.49,Clear,Severe,Critical,6,11,1
SHP-000222,Supplier_C,Los Angeles,Miami,Rail,2355,4858.78,Clear,High,Medium,11,15,1
SHP-000223,Supplier_X,Philadelphia,Boston,Air,1254,3858.7,Rain,High,Low,7,9,1
SHP-000224,Supplier_P,Phoenix,Detroit,Air,4599,8399.51,Clear,Moderate,High,1,1,0
SHP-000225,Supplier_C,Philadelphia,Seattle,Air,3291,1496.0,Storm,Low,High,8,6,0
SHP-000226,Supplier_Y,Phoenix,Atlanta,Rail,1796,5081.68,Clear,Low,High,12,12,0
SHP-000227,Supplier_R,Phoenix,Orlando,Rail,4091,667.31,Clear,Severe,Low,1,1,0
SHP-000228,Supplier_Y,Phoenix,Boston,Rail,4823,758.0,Clear,Moderate,Critical,9,8,0
SHP-000229,Supplier_E,Houston,Seattle,Air,4782,5759.97,Rain,Low,Critical,4,4,0
SHP-000230,Supplier_E,Chicago,Seattle,Rail,1748,5681.88,Clear,Low,Low,12,10,0
SHP-000231,Supplier_V,Dallas,Portland,Road,1545,8786.43,Rain,High,Low,7,6,0
SHP-000232,Supplier_P,Houston,Detroit,Air,4299,5600.84,Storm,High,Low,11,13,1
SHP-000233,Supplier_R,New York,Miami,Air,4023,9599.92,Fog,High,High,14,13,0
SHP-000234,Supplier_F,San Jose,Boston,Rail,353,534.51,Clear,Moderate,Medium,6,4,0
SHP-000235,Supplier_I,San Antonio,Portland,Rail,3283,1025.18,Clear,Low,High,13,12,0
SHP-000236,Supplier_Q,Philadelphia,Orlando,Air,2657,488.46,Rain,Low,High,9,8,0
SHP-000237,Supplier_T,Chicago,Seattle,Road,198,1893.5,Fog,Low,Medium,14,12,0
SHP-000238,Supplier_N,New York,Miami,Rail,2300,5435.64,Fog,High,Low,2,2,0
SHP-000239,Supplier_G,San Diego,Seattle,Air,3061,6473.44,Clear,Low,High,11,9,0
SHP-000240,Supplier_R,Phoenix,Nashville,Road,4533,503.57,Snow,Moderate,Critical,7,5,0
SHP-000241,Supplier_Y,Phoenix,Atlanta,Rail,3877,9462.41,Clear,Moderate,Critical,11,13,1
SHP-000242,Supplier_X,San Antonio,Boston,Rail,2969,8429.55,Clear,Moderate,High,5,5,0
SHP-000243,Supplier_W,San Antonio,Orlando,Rail,3334,3001.29,Clear,Severe,Critical,13,14,1
SHP-000244,Supplier_G,San Antonio,Las Vegas,Air,3891,818.02,Clear,Low,Critical,7,7,0
SHP-000245,Supplier_W,New York,Portland,Air,1056,1740.38,Clear,High,Critical,1,6,1
SHP-000246,Supplier_J,San Jose,Denver,Sea,4167,1313.1,Clear,Low,Critical,11,11,0
SHP-000247,Supplier_M,San Jose,Las Vegas,Road,260,1276.67,Rain,Low,Low,11,10,0
SHP-000248,Supplier_V,Houston,Seattle,Air,4593,5209.69,Clear,Moderate,High,10,9,0
SHP-000249,Supplier_U,Philadelphia,Orlando,Sea,1400,2496.18,Rain,Low,Critical,9,9,0
SHP-000250,Supplier_L,Houston,Orlando,Road,4087,3613.49,Clear,High,High,1,1,0
SHP-000251,Supplier_O,Dallas,Orlando,Rail,1627,9895.58,Clear,Moderate,Medium,14,14,0
SHP-000252,Supplier_Q,San Diego,Denver,Road,1318,6858.93,Clear,Low,Low,5,4,0
SHP-000253,Supplier_O,Philadelphia,Atlanta,Sea,4596,9492.36,Clear,Low,High,14,13,0
SHP-000254,Supplier_D,Dallas,Orlando,Sea,4835,1468.44,Rain,Moderate,High,8,7,0
SHP-000255,Supplier_H,Phoenix,Denver,Rail,3204,3852.29,Clear,High,Critical,1,1,0
SHP-000256,Supplier_H,Chicago,Atlanta,Sea,2835,5569.58,Rain,Moderate,High,7,6,0
SHP-000257,Supplier_C,Dallas,Denver,Road,4655,813.74,Clear,Moderate,Critical,2,6,1
SHP-000258,Supplier_K,Chicago,Boston,Air,1054,91.67,Rain,High,Critical,7,12,1
SHP-000259,Supplier_A,Phoenix,Orlando,Road,4665,6720.82,Snow,Moderate,High,7,5,0
SHP-000260,Supplier_S,Los Angeles,Seattle,Air,3546,6436.1,Clear,Low,Low,9,14,1
SHP-000261,Supplier_R,San Diego,Las Vegas,Rail,1145,4137.35,Clear,Moderate,Critical,6,6,0
SHP-000262,Supplier_H,Chicago,Boston,Rail,1793,4921.96,Clear,Moderate,High,4,2,0
SHP-000263,Supplier_S,Phoenix,Seattle,Sea,3536,4183.66,Rain,High,High,7,6,0
SHP-000264,Supplier_H,Dallas,Miami,Road,662,288.85,Clear,Moderate,Medium,7,7,0
SHP-000265,Supplier_A,Chicago,Las Vegas,Road,2585,3386.95,Rain,Severe,Medium,4,6,1
